Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-5.2
2020,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-3.3
2021,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-4.6
2022,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-4.2
2023,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-2.5
2024,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,-1.3
2014,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,-3716.9
2015,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,155.1
2016,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,377.5
2017,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,731.1
2018,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,-649.0
2019,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,-458.1
2020,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,1313.3
2021,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,199.5
2022,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,706.7
2023,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,463.3
2024,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,Normal value,Units,,129.0
2014,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,1.3
2015,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.9
2016,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.6
2017,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,1.6
2018,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.8
2019,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.5
2020,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.0
2021,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.4
2022,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.7
2023,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.5
2024,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,0.4
2014,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,36.9
2015,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,37.8
2016,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,42.2
2017,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,47.3
2018,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,49.1
2019,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,51.9
2020,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,58.4
2021,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,59.4
2022,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,57.6
2023,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,62.7
2024,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,Normal value,Units,,62.0
2014,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,10.3
2015,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,46.2
2016,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,53.4
2017,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,60.3
2018,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,62.7
2019,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,64.1
2020,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,71.0
2021,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,70.6
2022,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,70.5
2023,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,80.6
2024,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,Normal value,Units,,66.2
2015,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,15.2
2016,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,16.3
2017,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,14.1
2018,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,14.7
2019,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,14.8
2020,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,15.4
2021,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,16.6
2022,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,16.1
2023,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,21.9
2024,Bank capital to assets ratio (%) [17.13.1],,Percent,Normal value,Units,,19.6
2015,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,3.5
2016,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,3.7
2017,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,4.0
2018,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,3.9
2019,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,3.8
2020,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,4.1
2021,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,4.0
2022,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,4.0
2023,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,4.2
2024,Broad money to total reserves ratio [17.13.1],,Percent,Normal value,Units,,3.8
2014,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,16.1
2015,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,14.1
2016,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,4.0
2017,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,9.6
2018,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,10.1
2019,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,5.6
2020,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,13.2
2021,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,6.1
2022,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,7.5
2023,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,19.9
2024,Annual broad money growth (%) [17.13.1],,Percent,Normal value,Units,,1.0
2014,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,149.7
2015,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,159.6
2016,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,86.7
2017,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,93.6
2018,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,98.0
2019,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,103.2
2020,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,108.7
2021,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,115.3
2022,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,124.2
2023,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,133.7
2024,"Annual inflation, consumer prices (%) [17.13.1]",,Index,Normal value,Units,,139.7
2014,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.2
2015,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,14.8
2016,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.6
2017,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.9
2018,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.1
2019,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,16.5
2020,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.0
2021,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.2
2022,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,14.4
2023,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,14.6
2024,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,Normal value,Units,,15.6
2014,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,3.8
2015,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,13.6
2016,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,5.3
2017,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,6.2
2018,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,7.0
2019,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,5.6
2020,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,3.1
2021,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,6.0
2022,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,8.1
2023,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,2.0
2024,Annual growth of the general government final consumption expenditure (%) [17.13.1],,Percent,Normal value,Units,,0.4
2014,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,4.3
2015,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,6.1
2016,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,4.5
2017,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,4.9
2018,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,4.7
2019,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,5.0
2020,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,-1.8
2021,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,6.1
2022,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,2.3
2023,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,7.5
2024,Annual growth of households and NPISHs final consumption expenditure [17.13.1],,Percent,Normal value,Units,,6.9
2014,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,1.9
2015,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-2.2
2016,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-6.6
2017,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-1.0
2018,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,6.8
2019,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-3.2
2020,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,9.5
2021,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,16.6
2022,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,20.8
2023,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,11.7
2024,Annual growth of exports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,7.5
2014,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,19.9
2015,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,0.1
2016,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,-3.9
2017,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,12.0
2018,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,-2.3
2019,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,5.3
2020,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,2.2
2021,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,13.4
2022,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,-2.6
2023,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,-5.5
2024,Annual growth of the gross capital formation (%) [17.13.1],,Percent,Normal value,Units,,7.3
2014,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,11.3
2015,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-4.6
2016,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-7.4
2017,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,12.4
2018,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,1.4
2019,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,1.8
2020,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,-2.2
2021,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,23.1
2022,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,10.9
2023,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,1.3
2024,Annual growth of imports of goods and services (%) [17.13.1],,Percent,Normal value,Units,,2.7
2014,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.4
2015,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.7
2016,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,4.2
2017,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,3.8
2018,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.6
2019,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.1
2020,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,-0.3
2021,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,7.6
2022,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,4.9
2023,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,5.6
2024,Annual GDP growth (%) [17.13.1],,Percent,Normal value,Units,,4.7
